timestamp,__name__,cluster,label_kubernetes_io_arch,label_node_openshift_io_os_id,label_node_role_kubernetes_io,prometheus,tenant_id,value
2022-04-14 15:18:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:18:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:19:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:19:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:20:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:20:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:21:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:21:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:22:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:22:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:23:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:23:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:24:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:24:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:25:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:25:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:26:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:26:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:27:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:27:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:28:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
